group	tag	smolt.year	date.M	length.M	date.R	length.R	time.MR	growth	growth.rate
fall	3D9.1BF0E0DD9E	2001	8/9/2000	73	5/17/2001	106	281	33	0.117437722
fall	3D9.1BF0E0DFF7	2001	8/24/2000	73	4/27/2001	115	246	42	0.170731707
fall	3D9.1BF0E0E064	2001	8/21/2000	61	5/17/2001	105	269	44	0.163568773
fall	3D9.1BF0E0E2C2	2001	8/25/2000	74	5/4/2001	116	252	42	0.166666667
fall	3D9.1BF0E0E358	2001	8/15/2000	75	5/16/2001	113	274	38	0.138686131
fall	3D9.1BF0E0E39E	2001	8/8/2000	74	6/18/2001	127	314	53	0.168789809
fall	3D9.1BF0E0E3BC	2001	8/24/2000	70	5/3/2001	115	252	45	0.178571429
fall	3D9.1BF0E0E3FD	2001	8/21/2000	72	6/8/2001	112	291	40	0.137457045
fall	3D9.1BF0E0E450	2001	8/8/2000	73	5/16/2001	111	281	38	0.135231317
fall	3D9.1BF0E0E5B6	2001	8/10/2000	63	5/18/2001	130	281	67	0.238434164
fall	3D9.1BF0E0E5B7	2001	8/10/2000	78	5/17/2001	119	280	41	0.146428571
fall	3D9.1BF0E0E6E9	2001	8/8/2000	68	5/30/2001	110	295	42	0.142372881
fall	3D9.1BF0E0E75F	2001	8/9/2000	77	5/24/2001	107	288	30	0.104166667
fall	3D9.1BF0E0E8F4	2001	8/25/2000	70	5/12/2001	140	260	70	0.269230769
fall	3D9.1BF0E0E988	2001	8/16/2000	68	6/6/2001	115	294	47	0.159863946
fall	3D9.1BF0E0EA68	2001	8/10/2000	83	5/19/2001	108	282	25	0.088652482
fall	3D9.1BF0E0EAF0	2001	8/22/2000	66	5/14/2001	105	265	39	0.147169811
fall	3D9.1BF0E0EB16	2001	8/25/2000	66	5/18/2001	120	266	54	0.203007519
fall	3D9.1BF0E0EC3B	2001	8/25/2000	59	5/10/2001	136	258	77	0.298449612
fall	3D9.1BF0E0ECC1	2001	8/25/2000	72	5/1/2001	111	249	39	0.156626506
fall	3D9.1BF0E0ED8E	2001	8/21/2000	76	5/18/2001	133	270	57	0.211111111
fall	3D9.1BF0E0F061	2001	8/16/2000	84	5/17/2001	117	274	33	0.120437956
fall	3D9.1BF0E0F078	2001	8/15/2000	83	5/20/2001	109	278	26	0.09352518
fall	3D9.1BF0E0F0E5	2001	8/10/2000	76	5/16/2001	108	279	32	0.114695341
fall	3D9.1BF0E0F1CF	2001	8/11/2000	76	5/12/2001	117	274	41	0.149635036
fall	3D9.1BF0E0F1E5	2001	8/25/2000	70	5/15/2001	131	263	61	0.231939163
fall	3D9.1BF0E0F32E	2001	8/25/2000	77	5/1/2001	109	249	32	0.128514056
fall	3D9.1BF0E0F3CF	2001	8/8/2000	74	5/18/2001	109	283	35	0.123674912
fall	3D9.1BF0E0F53A	2001	8/17/2000	78	5/17/2001	130	273	52	0.19047619
fall	3D9.1BF0E0F552	2001	8/17/2000	87	5/16/2001	126	272	39	0.143382353
fall	3D9.1BF0E0F61C	2001	8/9/2000	73	5/15/2001	105	279	32	0.114695341
fall	3D9.1BF0E0F974	2001	8/24/2000	63	5/5/2001	103	254	40	0.157480315
fall	3D9.1BF0E0F9E9	2001	8/21/2000	63	5/30/2001	114	282	51	0.180851064
fall	3D9.1BF0E0FA00	2001	8/21/2000	75	5/5/2001	104	257	29	0.112840467
fall	3D9.1BF0E0FB49	2001	8/25/2000	67	4/30/2001	125	248	58	0.233870968
fall	3D9.1BF0E0FCEE	2001	8/24/2000	75	5/13/2001	109	262	34	0.129770992
fall	3D9.1BF0E0FD0A	2001	8/25/2000	70	5/1/2001	118	249	48	0.192771084
fall	3D9.1BF0E1004D	2001	8/25/2000	73	5/1/2001	123	249	50	0.200803213
fall	3D9.1BF0E1029C	2001	8/16/2000	80	5/19/2001	127	276	47	0.170289855
fall	3D9.1BF0E10351	2001	8/9/2000	74	5/15/2001	126	279	52	0.186379928
fall	3D9.1BF0E10408	2001	8/10/2000	78	5/16/2001	117	279	39	0.139784946
fall	3D9.1BF0E1043E	2001	8/14/2000	62	6/2/2001	106	292	44	0.150684932
fall	3D9.1BF0E1045B	2001	8/9/2000	65	5/17/2001	106	281	41	0.145907473
fall	3D9.1BF0E10517	2001	8/15/2000	64	6/6/2001	114	295	50	0.169491525
fall	3D9.1BF0E10B15	2001	8/10/2000	72	5/18/2001	126	281	54	0.192170819
fall	3D9.1BF0E10B7A	2001	8/14/2000	81	6/2/2001	129	292	48	0.164383562
fall	3D9.1BF0E10C13	2001	8/21/2000	61	5/16/2001	106	268	45	0.167910448
fall	3D9.1BF0E10FEB	2001	8/22/2000	62	5/15/2001	108	266	46	0.172932331
fall	3D9.1BF0E11113	2001	8/14/2000	70	5/29/2001	120	288	50	0.173611111
fall	3D9.1BF0E11833	2001	8/21/2000	72	5/30/2001	104	282	32	0.113475177
fall	3D9.1BF0E12ED4	2001	8/9/2000	72	5/29/2001	110	293	38	0.129692833
fall	3D9.1BF0E12F0A	2001	8/21/2000	62	5/14/2001	115	266	53	0.19924812
fall	3D9.1BF0E132FD	2001	8/9/2000	74	5/18/2001	118	282	44	0.156028369
fall	3D9.1BF0E134D4	2001	8/22/2000	63	6/2/2001	117	284	54	0.190140845
fall	3D9.1BF0E1363D	2001	8/24/2000	NA	5/1/2001	104	250	NA	NA
fall	3D9.1BF0E1365A	2001	8/25/2000	74	4/30/2001	112	248	38	0.153225806
fall	3D9.1BF0E137BA	2001	8/9/2000	96	5/28/2001	123	292	27	0.092465753
fall	3D9.1BF0E13895	2001	8/21/2000	71	5/29/2001	127	281	56	0.199288256
fall	3D9.1BF0E1397F	2001	8/9/2000	78	5/21/2001	116	285	38	0.133333333
fall	3D9.1BF0E13A52	2001	8/21/2000	61	6/15/2001	133	298	72	0.241610738
fall	3D9.1BF0E13AD3	2001	8/22/2000	65	6/2/2001	131	284	66	0.232394366
fall	3D9.1BF0E13B6C	2001	8/16/2000	80	5/17/2001	116	274	36	0.131386861
fall	3D9.1BF0DE53FB	2002	8/16/2001	58	5/17/2002	116	274	58	0.211678832
